"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대전광역시 중구 문화동","1*","대","제2종일반주거지역","8m미만","202003","13","55","4,537"," ","20200316"
"대전광역시 중구 문화동","1*","대","제2종일반주거지역","8m미만","202003","13","55","4,537"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","13","165","445","지분",""
"대전광역시 유성구 상대동","4**","전","개발제한구역","-","202003","13","3391","46,800"," ",""
"대전광역시 동구 추동","4**","답","개발제한구역","-","202003","13","1005","5,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","13","199","534","지분",""
"대전광역시 유성구 상대동","3**","답","보전녹지지역","8m미만","202003","13","4268","63,600"," ",""
"대전광역시 중구 문화동","1*","대","제2종일반주거지역","8m미만","202003","13","99","8,180"," ","20200316"
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","13","331","890","지분",""
"대전광역시 동구 대동","2**","대","제3종일반주거지역","8m미만","202003","14","227","20,481"," ",""
"대전광역시 동구 삼성동","1**","대","일반상업지역","25m이상","202003","14","119.3","27,500"," ",""
"대전광역시 동구 대동","1*","대","제3종일반주거지역","8m미만","202003","14","201","28,500"," ","20200423"
"대전광역시 서구 흑석동","1**","전","개발제한구역","-","202003","14","635","3,000"," ",""
"대전광역시 동구 대동","3**","대","제3종일반주거지역","8m미만","202003","14","39","3,519","지분",""
"대전광역시 유성구 교촌동","3**","답","개발제한구역","8m미만","202003","14","1600","48,000"," ",""
"대전광역시 동구 추동","1**","전","개발제한구역","-","202003","15","1365","5,200"," ",""
"대전광역시 대덕구 목상동","2**","답","자연녹지지역","12m미만","202003","16","1597","106,720"," ",""
"대전광역시 서구 용문동","5**","대","일반상업지역","25m이상","202003","16","268.6","113,500"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","16","60.5","17,050"," ",""
"대전광역시 유성구 지족동","1***","대","제1종일반주거지역","12m미만","202003","16","265.6","24,021"," ",""
"대전광역시 대덕구 목상동","2**","답","자연녹지지역","12m미만","202003","16","445","36,810"," ",""
"대전광역시 유성구 하기동","*","전","개발제한구역","-","202003","16","117","4,000"," ","20200521"
"대전광역시 서구 가수원동","산1*","임야","개발제한구역","25m미만","202003","16","194","587","지분",""
"대전광역시 동구 가양동","1**","대","제1종일반주거지역","12m미만","202003","16","25.25","600","지분",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","16","101.2","65,000"," ",""
"대전광역시 유성구 하기동","*","전","개발제한구역","8m미만","202003","16","2252","74,760"," ","20200521"
"대전광역시 서구 갈마동","3**","대","제3종일반주거지역","25m미만","202003","16","511.2","77,000","지분",""
"대전광역시 동구 용전동","1**","도로","제2종일반주거지역","-","202003","17","6.5","1,000","지분",""
"대전광역시 동구 가양동","1**","도로","제2종일반주거지역","12m미만","202003","17","17.35","100","지분",""
"대전광역시 동구 가양동","5**","대","제3종일반주거지역","8m미만","202003","17","93","13,900"," ",""
"대전광역시 유성구 성북동","2**","답","개발제한구역","12m미만","202003","17","1449","21,900"," ",""
"대전광역시 중구 용두동","1**","대","제3종일반주거지역","8m미만","202003","17","103","22,800"," ","20200427"
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","17","165","445","지분",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","17","198","534","지분",""
"대전광역시 유성구 용계동","3**","답","자연녹지지역","-","202003","17","1170","88,480"," ",""
"대전광역시 대덕구 대화동","3*","대","제2종일반주거지역","-","202003","18","24","1,067"," ",""
"대전광역시 서구 산직동","1**","전","자연녹지지역","-","202003","18","717","12,000"," ",""
"대전광역시 동구 용전동","4*","주유소용지","제3종일반주거지역","25m이상","202003","18","763.3","125,500","지분",""
"대전광역시 대덕구 신일동","1***","공장용지","일반공업지역","-","202003","18","1651","139,932"," ",""
"대전광역시 대덕구 신일동","1***","공장용지","일반공업지역","-","202003","18","1652.6","140,068"," ",""
"대전광역시 중구 용두동","7*","대","제2종일반주거지역","25m미만","202003","18","89","16,000"," ",""
"대전광역시 동구 소제동","3**","대","제2종일반주거지역","8m미만","202003","18","168.6","20,000","지분",""
"대전광역시 서구 관저동","1***","대","제2종일반주거지역","12m미만","202003","18","236.5","41,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","18","16.84","5,000","지분",""
"대전광역시 대덕구 이현동","3**","답","개발제한구역","-","202003","18","1208","5,475"," ",""
"대전광역시 중구 태평동","4**","도로","제3종일반주거지역","-","202003","18","10.8","500"," ",""
"대전광역시 중구 문화동","1*","대","제2종일반주거지역","8m미만","202003","18","93","6,000"," ",""
"대전광역시 서구 흑석동","4**","전","개발제한구역","-","202003","19","317","1,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","19","396","1,068"," ",""
"대전광역시 유성구 방동","산9*","임야","개발제한구역","12m미만","202003","19","330.58","1,290","지분",""
"대전광역시 중구 문창동","7*","대","일반상업지역","8m미만","202003","19","26","1,600"," ",""
"대전광역시 동구 용전동","1**","대","일반상업지역","8m미만","202003","19","15.5","2,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","19","992","2,670","지분",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","19","397","250","지분",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","19","99","267"," ",""
"대전광역시 서구 관저동","1***","대","제2종일반주거지역","25m이상","202003","19","119.65","31,200","지분",""
"대전광역시 동구 삼정동","6*","도로","개발제한구역","8m미만","202003","19","63","350","지분",""
"대전광역시 동구 소제동","2**","대","제3종일반주거지역","8m미만","202003","19","43","4,300"," ",""
"대전광역시 중구 용두동","9*","대","제2종일반주거지역","25m미만","202003","19","33.06","4,500","지분",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","19","166","445","지분",""
"대전광역시 서구 용문동","5**","도로","일반상업지역","-","202003","19","24.65","500","지분",""
"대전광역시 서구 용문동","2**","대","제3종일반주거지역","25m미만","202003","19","46.4","7,624"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","20","398","1,068"," ",""
"대전광역시 유성구 봉명동","6**","대","일반상업지역","25m미만","202003","20","381.7","132,780"," ",""
"대전광역시 유성구 원내동","5**","전","개발제한구역","8m미만","202003","20","681","14,500"," ",""
"대전광역시 유성구 구룡동","1**","답","개발제한구역","8m미만","202003","20","1332","17,112"," ",""
"대전광역시 유성구 구룡동","1**","답","개발제한구역","8m미만","202003","20","1626","20,888"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","20","99","267","지분","20200331"
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","20","99","267","지분",""
"대전광역시 중구 대사동","2**","임야","제2종일반주거지역","-","202003","20","70","3,200"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","20","165","445","지분",""
"대전광역시 유성구 송정동","1*","전","개발제한구역","8m미만","202003","20","3000","49,000"," ",""
"대전광역시 동구 삼성동","3**","대","제1종일반주거지역","12m미만","202003","20","9.44","600","지분",""
"대전광역시 대덕구 신일동","9*","도로","자연녹지지역","-","202003","20","47","700"," ",""
"대전광역시 유성구 덕명동","1**","답","자연녹지지역","-","202003","20","345","8,300"," ",""
"대전광역시 유성구 봉산동","7**","구거","자연녹지지역","-","202003","20","165","8,750"," ",""
"대전광역시 동구 대동","1**","대","근린상업지역","25m이상","202003","21","24","10,000"," ",""
